state;E1_lower
Horodecki;0.0008628092540513554
Chessboard;0.09175169254301963
Cross Hatch;0.06698466793689783
Gentiles1;0.0335552165596984
Ncomms6297;0.0011351785436265471
Pyramid;0.03790984034615397
Tiles;0.033730200115388076
